name,asian_indian,chinese,filipino,japanese,korean,vietnamese
AGUEDO,0,0,1,0,0,0
AGUINALDO,0,0,1,0,0,0
AGURI,0,0,0,1,0,0
AGUS,0,1,0,0,0,0
AGUSTIN,0,0.06960471907752211,0.9303952809224779,0,0,0
AH,0,0.6895079133394465,0,0,0.3104920866605535,0
AHAD,1,0,0,0,0,0
AHALYA,1,0,0,0,0,0
AHANA,1,0,0,0,0,0
AHMAD,0.9442714537833372,0.04035284904654757,0,0,0.015375697170115193,0
AHMED,0.842772148848655,0.020463261269060753,0.1367645898822843,0,0,0
AHMET,0,1,0,0,0,0
AHMMED,1,0,0,0,0,0
AHN,0,0,0,0,1,0
AHRON,0,0,1,0,0,0
AHSAN,1,0,0,0,0,0
AI,0,0.4210165216441739,0.08793220805453478,0.2816776809121306,0,0.20937358938916065
AIBA,0,0,0,1,0,0
AIBAN,0,0.9627928530951751,0,0.03720714690482484,0,0
AIDA,0,0,0.9810903947808969,0.01890960521910313,0,0
AIDAN,0.12284566734796872,0,0.8771543326520314,0,0,0
AIGUO,0,1,0,0,0,0
AIHA,0,0,0,1,0,0
AIHONG,0,1,0,0,0,0
AIHUA,0,1,0,0,0,0
AIICHIRO,0,0,0,1,0,0
AIJAZ,1,0,0,0,0,0
AIJI,0,0,0,1,0,0
AIJIRO,0,0,0,1,0,0
AIJUN,0,1,0,0,0,0
AIKA,0,0,0,1,0,0
AIKAWA,0,0,0,1,0,0
AIKI,0,0,0,1,0,0
AIKICHI,0,0,0,1,0,0
AIKO,0,0.07966417898590389,0.5324292459574367,0.38790657505665954,0,0
AILAN,0,1,0,0,0,0
AILEEN,0,0,0.8976476772418202,0,0.10235232275817979,0
AILI,0,1,0,0,0,0
AILIN,0,1,0,0,0,0
AILING,0,1,0,0,0,0
AIMA,1,0,0,0,0,0
AIMEE,0,0.3744119045646564,0.6255880954353435,0,0,0
AIMI,0,0,0,1,0,0
AIMIN,0,1,0,0,0,0
AIMING,0,1,0,0,0,0
AIN,0,0,0,0,1,0
AINA,0,0,0.8438597277046256,0.1561402722953744,0,0
AINE,0,0,0,1,0,0
AINO,0,0,0,1,0,0
AINOSUKE,0,0,0,1,0,0
AINSWORTH,1,0,0,0,0,0
AIPING,0,1,0,0,0,0
AIQIN,0,1,0,0,0,0
AIQING,0,1,0,0,0,0
AIRA,0,0,0.9153187902803488,0.08468120971965122,0,0
AIRAN,0,0,0,0,1,0
AIRES,0,0,1,0,0,0
AIRI,0,0,0,1,0,0
AIRONG,0,1,0,0,0,0
AIRU,0,0,0,1,0,0
AISA,0,0,0,1,0,0
AISHA,0.9797741472090187,0,0,0.020225852790981227,0,0
