name,asian_indian,chinese,filipino,japanese,korean,vietnamese
ADITHYA,2.652379184128163e-5,0,0,0,0,0
ADITI,9.548565062861387e-4,0,0,0,0,0
ADITYA,0.0019892843880961225,0,0,0,0,0
ADLINE,2.652379184128163e-5,0,0,0,0,0
ADNAN,1.3261895920640813e-4,0,0,0,3.219471362802227e-5,0
ADO,0,0,0,3.8480532057489915e-5,0,0
ADOLF,2.652379184128163e-5,2.91587694999271e-5,0,0,0,0
ADOLFO,0,0,6.784260515603799e-4,0,0,0
ADOLPH,2.652379184128163e-5,0,0,0,0,0
ADONIS,0,2.91587694999271e-5,0,0,0,0
ADOOR,5.304758368256326e-5,0,0,0,0,0
ADRIA,0,0,1.35685210312076e-4,0,0,0
ADRIAAN,0,0,0,1.2826844019163307e-5,0,0
ADRIAN,5.304758368256326e-5,1.7495261699956264e-4,4.0705563093622793e-4,1.9240266028744957e-5,0,1.67000668002672e-4
ADRIANNA,0,2.91587694999271e-5,1.35685210312076e-4,0,3.219471362802227e-5,0
ADRIANO,0,0,4.0705563093622793e-4,0,3.219471362802227e-5,1.67000668002672e-4
ADRIEN,0,2.91587694999271e-5,1.35685210312076e-4,0,0,1.67000668002672e-4
ADRIENNE,2.652379184128163e-5,0,0,0,0,1.67000668002672e-4
ADVAIT,5.304758368256326e-5,0,0,0,0,0
ADYA,2.652379184128163e-5,0,0,0,0,0
AE,0,0,0,6.413422009581653e-6,4.8292070442033426e-4,0
AEGYEONG,0,0,0,0,9.658414088406685e-5,0
AEJU,0,0,0,0,6.438942725604455e-5,0
AELAY,5.304758368256326e-5,0,0,0,0,0
AENEAS,2.652379184128163e-5,0,0,0,0,0
AENNE,0,2.91587694999271e-5,0,0,0,0
AERA,0,0,0,0,9.658414088406685e-5,0
AERAN,0,0,0,0,1.931682817681337e-4,0
AERI,0,0,0,6.413422009581653e-6,1.6097356814011145e-4,0
AERON,2.652379184128163e-5,0,0,0,0,0
AESIM,0,0,0,0,6.438942725604455e-5,0
AFAQ,5.304758368256326e-5,0,0,0,0,0
AFFAN,5.304758368256326e-5,0,0,0,0,0
AFONG,0,5.83175389998542e-5,0,0,0,0
AFREEN,2.652379184128163e-5,0,0,0,0,0
AFRIN,2.652379184128163e-5,0,0,0,0,0
AFROZ,5.304758368256326e-5,0,0,0,0,0
AFSANA,2.652379184128163e-5,0,0,0,0,0
AFSAR,5.304758368256326e-5,0,0,0,0,0
AFSHAN,2.652379184128163e-5,0,0,0,0,0
AFSHEEN,2.652379184128163e-5,0,0,0,0,0
AFTAB,1.856665428889714e-4,0,0,0,0,0
AFZAL,1.0609516736512653e-4,0,0,0,0,0
AGA,5.304758368256326e-5,0,0,0,0,0
AGAPITO,0,0,6.784260515603799e-4,0,0,0
AGATA,0,2.91587694999271e-5,0,1.9240266028744957e-5,9.658414088406685e-5,0
AGATHA,2.652379184128163e-5,2.91587694999271e-5,0,0,0,0
AGE,0,0,0,0,3.219471362802227e-5,0
AGEHA,0,0,0,1.2826844019163307e-5,0,0
AGHA,1.3261895920640813e-4,0,0,0,0,0
AGNALDO,0,0,0,0,3.219471362802227e-5,0
AGNELO,5.304758368256326e-5,0,0,0,0,0
AGNES,5.304758368256326e-5,1.166350779997084e-4,5.42740841248304e-4,1.9240266028744957e-5,3.219471362802227e-5,0
AGNIESZKA,0,2.91587694999271e-5,0,0,3.219471362802227e-5,0
AGNIMITRA,5.304758368256326e-5,0,0,0,0,0
AGNIVA,5.304758368256326e-5,0,0,0,0,0
AGOSTINHO,2.652379184128163e-5,2.91587694999271e-5,0,0,0,0
AGU,0,0,0,6.413422009581653e-6,0,0
AGUEDA,0,0,1.35685210312076e-4,0,0,0
AGUEDO,0,0,1.35685210312076e-4,0,0,0
AGUINALDO,0,0,1.35685210312076e-4,0,0,0
AGURI,0,0,0,5.772079808623488e-5,0,0
AGUS,0,2.91587694999271e-5,0,0,0,0
