name,asian_indian,chinese,filipino,japanese,korean,vietnamese
ALF,2.12210597797254e-5,2.1151486949532554e-5,0,0,0,0
ALFAFARA,0,0,2.844950213371266e-4,0,0,0
ALFAR,0,0,1.422475106685633e-4,0,0,0
ALFONSO,0,0,1.422475106685633e-4,0,0,0
ALFONZO,0,0,1.422475106685633e-4,0,0,0
ALFRED,2.12210597797254e-5,0,0,0,0,0
ALGER,0,0,1.422475106685633e-4,0,0,0
ALI,0.005093054347134096,1.2690892169719533e-4,5.689900426742532e-4,0,2.9864118261908317e-5,0
ALIA,2.12210597797254e-5,0,0,0,0,0
ALIAS,2.12210597797254e-5,0,0,0,0,0
ALICANTE,0,0,2.844950213371266e-4,0,0,0
ALICDAN,0,0,1.422475106685633e-4,0,0,0
ALICE,0,0,0,6.225487144369047e-6,0,0
ALIG,2.12210597797254e-5,0,0,0,0,0
ALIMO,0,0,0,6.225487144369047e-6,0,0
ALIMOHAMED,0,0,1.422475106685633e-4,0,0,0
ALIMUDDIN,4.24421195594508e-5,0,0,0,0,0
ALINDOGAN,0,0,1.422475106685633e-4,0,0,0
ALIP,0,0,1.422475106685633e-4,0,0,0
ALISA,0,0,0,1.2450974288738094e-5,0,0
ALIX,0,0,1.422475106685633e-4,0,0,0
ALKA,1.06105298898627e-4,2.1151486949532554e-5,0,0,0,0
ALLA,0,2.1151486949532554e-5,0,0,0,0
ALLADO,0,0,2.844950213371266e-4,0,0,0
ALLAUDDIN,4.24421195594508e-5,0,0,0,0,0
ALLEN,1.2732635867835238e-4,2.1151486949532554e-5,0,0,2.9864118261908317e-5,0
ALLES,2.12210597797254e-5,0,0,0,0,0
ALLEY,0,2.1151486949532554e-5,0,0,0,0
ALLIE,0,0,1.422475106685633e-4,0,0,0
ALLIER,0,0,0,6.225487144369047e-6,0,0
ALLU,1.06105298898627e-4,0,0,0,0,0
ALLY,2.12210597797254e-5,0,0,0,0,0
ALMARIO,0,0,8.534850640113798e-4,0,0,0
ALMAS,0,2.1151486949532554e-5,0,0,0,0
ALMAZAN,0,0,1.422475106685633e-4,0,0,0
ALMEDA,0,0,1.422475106685633e-4,0,0,0
ALMEDILLA,0,0,2.844950213371266e-4,0,0,0
ALMEIDA,1.485474184580778e-4,0,0,0,0,0
ALMENDRAS,0,0,2.844950213371266e-4,0,0,0
ALMOND,0,0,0,0,2.9864118261908317e-5,0
ALMONTE,0,0,1.422475106685633e-4,0,0,0
ALO,2.12210597797254e-5,0,1.422475106685633e-4,0,0,0
ALOIS,2.12210597797254e-5,0,0,0,0,0
ALOMARI,2.12210597797254e-5,0,0,0,0,0
ALONSO,0,0,2.844950213371266e-4,0,0,0
ALONTO,0,0,4.267425320056899e-4,0,0,0
ALONZO,0,0,9.957325746799432e-4,0,0,0
ALPEROVICH,0,2.1151486949532554e-5,0,0,0,0
ALPTEKIN,0,4.230297389906511e-5,0,0,0,0
ALSING,2.12210597797254e-5,0,0,0,0,0
ALTAF,8.48842391189016e-5,0,0,0,0,0
ALTAMIRANO,0,0,1.422475106685633e-4,0,0,0
