name,asian_indian,chinese,filipino,japanese,korean,vietnamese
AJAY,1,0,0,0,0,0
AJAZI,1,0,0,0,0,0
AJI,1,0,0,0,0,0
AJIKI,0,0,0,1,0,0
AJIMA,0,0,0,1,0,0
AJINKYA,1,0,0,0,0,0
AJISAKA,0,0,0,1,0,0
AJITH,1,0,0,0,0,0
AJMAL,1,0,0,0,0,0
AJMANI,1,0,0,0,0,0
AJMERA,1,0,0,0,0,0
AJMERI,1,0,0,0,0,0
AK,0.9078061877442648,0,0,0.0921938122557352,0,0
AKA,0,0,0,1,0,0
AKABA,0,0,0,1,0,0
AKABANE,0,0,0,1,0,0
AKABOSHI,0,0,0,1,0,0
AKADA,0,0,0,1,0,0
AKAE,0,0,0,1,0,0
AKAGAWA,0,0,0,1,0,0
AKAGI,0,0.23417550164602285,0,0.7658244983539773,0,0
AKAHIRA,0,0,0,1,0,0
AKAHO,0,0,0,1,0,0
AKAHORI,0,0,0,1,0,0
AKAHOSHI,0,0,0,1,0,0
AKAI,0,0,0,1,0,0
AKAIKE,0,0,0,1,0,0
AKAISHI,0,0,0,1,0,0
AKAIWA,0,0,0,1,0,0
AKAJI,0,0,0,1,0,0
AKAMA,0,0,0,1,0,0
AKAMATSU,0,0,0,1,0,0
AKAMINE,0,0,0,1,0,0
AKANA,0,0,0,1,0,0
AKANE,0,0,0,1,0,0
AKANEYA,0,0,0,1,0,0
AKANO,0,0,0,1,0,0
AKANUMA,0,0,0,1,0,0
AKAO,0,0,0,1,0,0
AKAOKA,0,0,0,1,0,0
AKARI,0,0,0,1,0,0
AKASAKA,0,0,0,1,0,0
AKASAKI,0,0,0,1,0,0
AKASE,0,0,0,1,0,0
AKASHI,0,0,0,1,0,0
AKASOFU,0,0,0,1,0,0
AKATA,0,0,0,1,0,0
AKATSUKA,0,0.5791281058997529,0,0.4208718941002471,0,0
AKATSUKI,0,0,0,1,0,0
AKAZA,0,0,0,1,0,0
AKAZAWA,0,0,0,1,0,0
AKBAR,0.6041546080053355,0,0.39584539199466456,0,0,0
AKECHI,0,0,0,1,0,0
AKEHI,0,0,0,1,0,0
AKEMI,0,0,0,1,0,0
AKEO,0,0,0,1,0,0
AKETAGAWA,0,0,0,1,0,0
AKHAND,1,0,0,0,0,0
AKHTAR,1,0,0,0,0,0
AKHTER,1,0,0,0,0,0
AKI,0,0,0,1,0,0
AKIBA,0,0,0,1,0,0
AKIHO,0,0,0,1,0,0
AKIKAWA,0,0,0,1,0,0
AKIKUSA,0,0,0,1,0,0
AKIMA,0,0,0,1,0,0
AKIMITSU,0,0,0,1,0,0
AKIMOTO,0,0,0,1,0,0
AKIMURA,0,0,0,1,0,0
AKINA,0,0,0,1,0,0
AKINAGA,0,0,0,1,0,0
AKINO,0,0,0,0.701114739632243,0.2988852603677569,0
AKINS,0,0,0,0,1,0
AKIOKA,0,0,0,1,0,0
AKIRA,0,0,0,1,0,0
AKISADA,0,0,0,1,0,0
AKITA,0,0,0,1,0,0
AKITANI,0,0,0,1,0,0
AKITSU,0,0,0,1,0,0
AKIYA,0,0,0,1,0,0
AKIYAMA,0,0,0,1,0,0
AKIYOSHI,0,0.41639639189874367,0,0.5836036081012563,0,0
AKIZUKI,0,0,0,1,0,0
AKKARA,1,0,0,0,0,0
AKKINENI,1,0,0,0,0,0
AKKIRAJU,1,0,0,0,0,0
AKO,0,0,0,1,0,0
AKONG,0,0.17578985479854706,0.824210145201453,0,0,0
AKOPOV,0,1,0,0,0,0
AKRAM,1,0,0,0,0,0
