GEOID,asian_indian,chinese,filipino,japanese,korean,vietnamese
01503,3.4416607527462732e-6,3.7846514406985332e-6,1.7006253199301382e-6,1.1927433494618739e-5,1.2876606864993521e-5,2.343680505212292e-5
01504,0,6.3865993061787746e-6,0,0,1.8976052222095716e-5,2.4502114372673963e-5
01505,2.6615509821237847e-5,1.8923257203492666e-6,0,0,0,1.2251057186336982e-5
01506,0,0,0,7.951622329745827e-6,0,0
01507,0,9.461628601746333e-7,4.0815007678323316e-6,0,5.421729206313061e-6,0
01510,8.489429856774141e-6,3.075029295567558e-5,5.101875959790415e-6,0,3.795210444419143e-5,1.9708222430194274e-5
01515,0,3.075029295567558e-6,0,0,0,0
01516,6.653877455309462e-6,0,0,0,0,0
01519,4.084104093258911e-5,4.186770656272752e-5,7.482751407692609e-6,5.566135630822078e-5,5.421729206313061e-6,3.3024588937082297e-5
01520,1.1242758458971159e-5,2.696564151497705e-5,1.1564252175524941e-5,9.276892718036798e-6,1.8298336071306583e-5,2.1306186411020838e-5
01521,0,0,7.142626343706581e-6,0,0,0
01522,0,0,0,0,0,9.055129224683856e-6
01523,5.277213154210952e-6,4.494273585829508e-6,5.101875959790415e-6,0,0,2.1306186411020837e-6
01524,4.5888810036616974e-7,0,9.523501791608775e-6,0,0,1.171840252606146e-5
01527,6.791543885419313e-5,2.6019478654802413e-6,1.5305627879371244e-5,2.1204326212655537e-5,3.591895599182403e-5,0
01529,0,0,0,0,1.2198890714204388e-5,0
01531,0,4.7308143008731665e-7,0,0,0,0
01532,2.4688179799699933e-4,2.814834509019534e-5,5.544038542972251e-5,2.2132015484459217e-4,1.1724489408651995e-4,0
01534,0,7.5693028813970665e-6,0,0,0,5.8059357970031785e-5
01535,0,0,0,7.951622329745827e-6,0,0
01536,4.795380648826474e-5,1.4665524332706816e-5,0,0,4.269611749971536e-5,2.4502114372673963e-5
01540,7.342209605858716e-6,7.805843596440725e-6,0,1.4577974271200682e-5,0,7.457165243857294e-6
01543,0,1.9632879348623642e-5,0,0,0,1.070635867153797e-4
01545,0.0014078686919234088,3.891094762468179e-4,3.945450742237921e-5,0.00025842772571673935,1.0436828722152643e-4,4.5808300783694805e-5
01550,2.455051336959008e-5,0,2.3808754479021938e-6,9.276892718036798e-6,0,1.757760378909219e-5
01560,8.466485451755832e-5,7.805843596440725e-6,0,0,1.3554323015782654e-5,2.183884107129636e-5
01562,8.259985806591055e-6,0,0,0,2.1686916825252245e-5,0
01566,0,2.0579042208798272e-5,4.693725883007182e-5,0,0,1.4914330487714587e-5
01568,4.749491838789857e-5,2.4836775079584123e-5,0,0,0,0
01569,0,7.09622145130975e-6,4.7617508958043875e-6,0,8.132593809469592e-6,0
01570,0,1.537514647783779e-5,4.7617508958043875e-6,2.6505407765819423e-5,0,2.7165387674051567e-5
01571,4.7265474337715484e-5,8.042384311484383e-6,5.782126087762471e-6,4.505919320189302e-5,0,0
01581,9.19152865033438e-4,2.5215240223653977e-4,2.5509379798952073e-5,6.0962437861384666e-5,2.507549757919791e-5,4.2612372822041676e-5
01583,5.5066572043940375e-6,4.021192155742192e-6,0,0,1.6942903769728318e-5,5.3265466027552095e-6
01588,0,9.461628601746333e-7,0,0,0,0
01590,1.881441211501296e-5,2.3654071504365834e-6,0,5.6986626696511756e-5,4.066296904734796e-6,0
01602,3.4416607527462732e-6,1.111741360705194e-5,3.061125575874249e-6,6.758878980283952e-5,1.8704965761780063e-4,4.0321957782856935e-4
01603,1.8355524014646792e-5,3.1696455815850216e-5,5.782126087762471e-6,2.491508329987026e-4,7.522649273759373e-5,9.800845749069586e-4
01604,7.709320086151652e-5,2.320464414578288e-4,1.904700358321755e-5,9.144365679207701e-5,3.4563523690245765e-5,5.832568530016954e-4
01605,2.8451062222702525e-5,5.39312830299541e-5,0,0,1.2198890714204388e-5,3.1586421354338394e-4
01606,4.565936598643389e-5,4.044846227246557e-5,3.061125575874249e-6,0,3.32080913886675e-5,4.2132983627793705e-4
01607,0,5.203895730960483e-6,0,0,0,5.060219272617449e-5
01608,1.4454975161534348e-5,4.021192155742191e-5,1.7686503327273438e-5,0,1.4909755317360919e-5,4.421033680286824e-5
01609,4.4971033835884636e-5,1.107010546404321e-4,1.6666128135315356e-5,4.10833820370201e-5,4.4051549801293626e-5,2.109312454691063e-4
01610,5.736101254577122e-5,1.208723053873094e-4,1.7006253199301382e-6,2.6505407765819423e-5,6.573846662654587e-5,2.9136209917071e-4
01612,0,1.6557850053056082e-6,0,0,0,1.8110258449367713e-5
01701,2.1315352262008585e-4,3.1696455815850215e-4,9.183376727622747e-6,4.7709733978474956e-5,1.2198890714204388e-5,1.0067173079207346e-4
01702,1.986985474585515e-4,1.8852294988979567e-4,2.755013018286824e-5,1.3252703882909711e-5,3.591895599182403e-5,1.3316366506888023e-5
01718,3.005717057398412e-5,0,0,1.7758623203099013e-4,0,0
01719,9.705483322744491e-5,8.610082027589162e-5,0,0,5.353957591234148e-5,0
01720,5.788873386119232e-4,5.667515532446053e-4,2.7210005118882213e-6,2.054169101851005e-4,2.0602570983989634e-4,5.326546602755209e-7
01721,3.795004590028224e-4,1.452359990368062e-4,7.482751407692609e-6,0,1.0843458412626122e-5,2.343680505212292e-5
01730,2.3013238233363412e-4,1.9869420063667298e-4,2.2788379287063853e-5,4.505919320189302e-5,2.114474390462094e-4,6.924510583581772e-6
01731,0,5.1092794449430196e-5,2.3808754479021938e-6,5.831189708480273e-5,0,0
01740,1.4684419211717432e-5,4.281386942290215e-5,1.1564252175524941e-5,0,1.4232039166571786e-5,0
01741,4.657714218716623e-5,6.457561520691872e-5,2.7210005118882213e-6,1.5903244659491654e-5,0,0
01742,8.466485451755832e-5,7.072567379805384e-5,7.142626343706581e-6,1.4975555387687972e-4,2.304234912683051e-5,9.587783884959378e-6
01745,0,1.8213635058361692e-5,0,9.276892718036798e-6,0,0
01746,1.1793424179410562e-4,1.7740553628274375e-5,2.7210005118882213e-6,7.951622329745827e-6,0,0
01748,5.185435534137718e-4,1.532783833482906e-4,2.5509379798952073e-5,0,2.507549757919791e-5,1.2251057186336982e-5
01749,1.183931298944718e-4,3.287915939106851e-5,6.122251151748498e-5,1.3252703882909711e-5,4.744013055523929e-6,4.474299146314376e-5
01752,2.819867376750113e-4,1.1212029893069404e-4,4.18353828702814e-5,1.3915339077055197e-4,2.1009200674463112e-5,2.9296006315153653e-5
01754,4.267659333405379e-5,5.5823608750303364e-5,0,1.4577974271200682e-5,0,0
01756,0,3.075029295567558e-6,0,0,6.777161507891327e-7,3.195927961653126e-6
01757,5.9884897097785154e-5,1.70309314831434e-5,2.3808754479021935e-5,0,7.929278964232852e-5,2.6632733013776046e-5
01760,4.7678473628045035e-4,3.581226425760987e-4,3.5373006654546876e-5,1.656587985363714e-4,1.7552848305438535e-4,1.448820675949417e-4
01770,2.1338296667026893e-5,5.1092794449430196e-5,0,0,6.099445357102194e-6,4.793891942479689e-6
01772,1.1678702154319021e-4,1.9538263062606178e-4,6.122251151748498e-6,1.0602163106327768e-5,2.778636218235444e-5,4.2612372822041674e-6
01773,2.7533286021970188e-6,3.0277211525588266e-5,4.0815007678323316e-6,1.7228515047782623e-5,0,7.457165243857294e-6
01775,1.9502744265562216e-5,1.2063576467226574e-5,0,3.578230048385622e-5,6.777161507891327e-6,1.1292278797841044e-4
01776,1.241292311490489e-4,2.5333510581175805e-4,1.7346378263287412e-5,0,2.846407833314357e-5,0
01778,9.10892879226847e-5,2.434003957799244e-4,2.925075550279838e-5,6.0962437861384666e-5,3.591895599182403e-5,0
01801,4.1712928323284833e-4,1.8994219418005763e-4,6.802501279720553e-6,9.939527912182283e-5,3.998525289655883e-5,1.709821459484422e-4
01803,5.7567512190936e-4,1.0242212961390406e-4,1.59858780073433e-5,8.746784562720409e-5,1.267329201975678e-4,6.817979651526668e-5
01810,5.334574166756724e-4,4.5013698072808177e-4,9.863626855594803e-6,1.2059960533447837e-4,3.124271455137902e-4,3.0361315635704693e-5
01821,4.2745426549108714e-4,4.494273585829508e-5,1.4285252687413162e-5,4.7709733978474956e-5,1.1453402948336342e-4,3.142662495625574e-5
01824,2.526178992515765e-4,1.1141067678556306e-4,2.3808754479021938e-6,1.0602163106327768e-5,6.302760202338934e-5,8.62900549646344e-5
01826,5.070713509046176e-5,3.595418868663607e-5,1.3605002559441107e-6,5.301081553163884e-6,0,7.35063431180219e-5
01827,7.342209605858716e-6,6.623140021222433e-6,0,6.626351941454856e-6,1.2198890714204388e-5,0
01830,7.801097706224886e-6,7.5693028813970665e-6,1.1224127111538913e-5,9.276892718036798e-6,1.2198890714204388e-5,2.7165387674051567e-5
01832,2.6615509821237847e-5,0,5.101875959790415e-6,0,1.6942903769728318e-5,2.1252920944993286e-4
01833,2.294440501830849e-6,1.8923257203492666e-6,1.904700358321755e-5,0,0,0
01834,2.5238845520139337e-6,0,0,0,0,0
01835,0,1.6557850053056082e-6,1.0884002047552885e-5,0,2.9141794483932704e-5,0
01841,0,0,1.8026628391259464e-5,0,0,2.237149573157188e-4
01843,4.1529373083138366e-5,3.69003515468107e-5,0,0,0,1.8429851245533024e-4
01844,2.5560067190395655e-4,3.453494439637412e-5,2.074762890314769e-5,0,2.4397781428408777e-5,2.721865314007912e-4
01845,1.4799141236808975e-4,1.1945306109704745e-4,2.7210005118882213e-6,3.578230048385622e-5,2.3787836892698557e-4,6.285324991251148e-5
01850,0,1.7977094343318033e-5,1.1564252175524941e-5,0,4.744013055523929e-5,1.624596713840339e-4
01851,2.457345777460839e-4,9.745477459798723e-5,4.7617508958043875e-6,4.638446359018399e-5,2.033148452367398e-5,6.269345351442881e-4
01852,1.275708919017952e-4,1.1827035752182916e-5,1.1564252175524941e-5,2.6505407765819423e-5,4.744013055523929e-5,3.1107032160090426e-4
01854,2.4527568964571774e-4,9.769131531303089e-5,2.482912967098002e-5,7.951622329745827e-6,3.11749429363001e-5,2.53543618291148e-4
01860,0,0,0,0,1.8976052222095716e-5,0
01862,8.03054175640797e-5,2.0579042208798272e-5,0,0,4.744013055523929e-6,0
01863,6.240878164979909e-5,2.4127152934453148e-5,0,0,1.2198890714204388e-5,7.244103379747085e-5
01864,3.602271587874433e-5,9.035855314667747e-5,1.9387128647203576e-5,0,2.2364632976041378e-5,0
01867,7.342209605858717e-5,2.348849300383527e-4,1.462537775139919e-5,1.9879055824364564e-5,8.471451884864158e-5,0
01876,9.659594512707874e-5,8.184308740510577e-5,4.863788415000195e-5,0,2.9819510634721837e-5,4.953688340562345e-5
01879,1.273414478516121e-4,5.818901590073995e-5,0,0,0,1.550025061401766e-4
01880,9.063039982231853e-5,7.474686595379603e-5,3.4012506398602764e-5,1.3252703882909711e-5,8.132593809469592e-6,6.125528593168491e-5
01886,7.830925432748687e-4,2.8692388734795755e-4,8.503126599650691e-6,1.5240609465346167e-4,2.385560850777747e-4,1.2251057186336982e-5
